gamePk,link,gameType,season,gameDate,officialDate,status,teams,venue,content,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription
642138,/api/v1.1/game/642138/feed/live,S,2021,2021-02-28T18:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 6, 'team': {'id': 134, 'name': 'Pittsburgh Pirates', 'link': '/api/v1/teams/134'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 2}, 'home': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 4, 'team': {'id': 110, 'name': 'Baltimore Orioles', 'link': '/api/v1/teams/110'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 2}}","{'id': 2508, 'name': 'Ed Smith Stadium', 'link': '/api/v1/venues/2508'}",{'link': '/api/v1/game/642138/content'},False,1,True,N,N,N,14-642138-2021-02-28,2021,day,8,False,1,1,Spring Training,S,N,Normal Game
641924,/api/v1.1/game/641924/feed/live,S,2021,2021-02-28T18:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'FT', 'startTimeTBD': False, 'reason': 'Tied', 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 0, 'losses': 0, 'pct': '.000'}, 'score': 4, 'team': {'id': 120, 'name': 'Washington Nationals', 'link': '/api/v1/teams/120'}, 'splitSquad': False, 'seriesNumber': 2}, 'home': {'leagueRecord': {'wins': 0, 'losses': 0, 'pct': '.000'}, 'score': 4, 'team': {'id': 138, 'name': 'St. Louis Cardinals', 'link': '/api/v1/teams/138'}, 'splitSquad': False, 'seriesNumber': 2}}","{'id': 2520, 'name': 'Roger Dean Chevrolet Stadium', 'link': '/api/v1/venues/2520'}",{'link': '/api/v1/game/641924/content'},True,1,True,N,E,N,14-641924-2021-02-28,2021,day,9,False,1,1,Spring Training,S,N,Normal Game
641561,/api/v1.1/game/641561/feed/live,S,2021,2021-02-28T18:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 6, 'team': {'id': 111, 'name': 'Boston Red Sox', 'link': '/api/v1/teams/111'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 2}, 'home': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 7, 'team': {'id': 142, 'name': 'Minnesota Twins', 'link': '/api/v1/teams/142'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 2}}","{'id': 2862, 'name': 'Hammond Stadium', 'link': '/api/v1/venues/2862'}",{'link': '/api/v1/game/641561/content'},False,1,True,N,E,N,14-641561-2021-02-28,2021,day,7,False,1,1,Spring Training,S,N,Normal Game
642081,/api/v1.1/game/642081/feed/live,S,2021,2021-02-28T18:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 2, 'team': {'id': 143, 'name': 'Philadelphia Phillies', 'link': '/api/v1/teams/143'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 3}, 'home': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 10, 'team': {'id': 116, 'name': 'Detroit Tigers', 'link': '/api/v1/teams/116'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 2}}","{'id': 2511, 'name': 'Publix Field at Joker Marchant Stadium', 'link': '/api/v1/venues/2511'}",{'link': '/api/v1/game/642081/content'},False,1,True,N,E,N,14-642081-2021-02-28,2021,day,7,False,1,1,Spring Training,S,N,Normal Game
641585,/api/v1.1/game/641585/feed/live,S,2021,2021-02-28T18:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 7, 'team': {'id': 144, 'name': 'Atlanta Braves', 'link': '/api/v1/teams/144'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 3}, 'home': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 9, 'team': {'id': 139, 'name': 'Tampa Bay Rays', 'link': '/api/v1/teams/139'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 2}}","{'id': 2534, 'name': 'Charlotte Sports Park', 'link': '/api/v1/venues/2534'}",{'link': '/api/v1/game/641585/content'},False,1,True,N,N,N,14-641585-2021-02-28,2021,day,7,False,1,1,Spring Training,S,N,Normal Game
642122,/api/v1.1/game/642122/feed/live,S,2021,2021-02-28T18:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 6, 'team': {'id': 146, 'name': 'Miami Marlins', 'link': '/api/v1/teams/146'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 3}, 'home': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 1, 'team': {'id': 117, 'name': 'Houston Astros', 'link': '/api/v1/teams/117'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 2}}","{'id': 5000, 'name': 'The Ballpark of the Palm Beaches', 'link': '/api/v1/venues/5000'}",{'link': '/api/v1/game/642122/content'},False,1,True,N,N,N,14-642122-2021-02-28,2021,day,7,False,2,1,Spring Training,S,N,Normal Game
641623,/api/v1.1/game/641623/feed/live,S,2021,2021-02-28T18:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 6, 'team': {'id': 141, 'name': 'Toronto Blue Jays', 'link': '/api/v1/teams/141'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 2}, 'home': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 4, 'team': {'id': 147, 'name': 'New York Yankees', 'link': '/api/v1/teams/147'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 2}}","{'id': 2523, 'name': 'George M. Steinbrenner Field', 'link': '/api/v1/venues/2523'}",{'link': '/api/v1/game/641623/content'},False,1,True,N,E,N,14-641623-2021-02-28,2021,day,7,False,1,1,Spring Training,S,N,Normal Game
642186,/api/v1.1/game/642186/feed/live,S,2021,2021-02-28T20:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 1, 'team': {'id': 113, 'name': 'Cincinnati Reds', 'link': '/api/v1/teams/113'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 3}, 'home': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 5, 'team': {'id': 114, 'name': 'Cleveland Indians', 'link': '/api/v1/teams/114'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 1}}","{'id': 3834, 'name': 'Goodyear Ballpark', 'link': '/api/v1/venues/3834'}",{'link': '/api/v1/game/642186/content'},False,1,True,N,N,N,14-642186-2021-02-28,2021,day,8,False,1,1,Spring Training,S,N,Normal Game
641992,/api/v1.1/game/641992/feed/live,S,2021,2021-02-28T20:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 2, 'team': {'id': 119, 'name': 'Los Angeles Dodgers', 'link': '/api/v1/teams/119'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 2}, 'home': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 1, 'team': {'id': 133, 'name': 'Oakland Athletics', 'link': '/api/v1/teams/133'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 2}}","{'id': 2507, 'name': 'Hohokam Stadium', 'link': '/api/v1/venues/2507'}",{'link': '/api/v1/game/641992/content'},False,1,True,N,N,N,14-641992-2021-02-28,2021,day,7,False,1,1,Spring Training,S,N,Normal Game
641991,/api/v1.1/game/641991/feed/live,S,2021,2021-02-28T20:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 5, 'team': {'id': 108, 'name': 'Los Angeles Angels', 'link': '/api/v1/teams/108'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 3}, 'home': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 2, 'team': {'id': 137, 'name': 'San Francisco Giants', 'link': '/api/v1/teams/137'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 1}}","{'id': 2532, 'name': 'Scottsdale Stadium', 'link': '/api/v1/venues/2532'}",{'link': '/api/v1/game/641991/content'},False,1,True,N,N,N,14-641991-2021-02-28,2021,day,7,False,1,1,Spring Training,S,N,Normal Game
642091,/api/v1.1/game/642091/feed/live,S,2021,2021-02-28T20:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 2, 'team': {'id': 140, 'name': 'Texas Rangers', 'link': '/api/v1/teams/140'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 1}, 'home': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 3, 'team': {'id': 118, 'name': 'Kansas City Royals', 'link': '/api/v1/teams/118'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 3}}","{'id': 2603, 'name': 'Surprise Stadium', 'link': '/api/v1/venues/2603'}",{'link': '/api/v1/game/642091/content'},False,1,True,N,N,N,14-642091-2021-02-28,2021,day,6,False,2,2,Spring Training,S,N,Normal Game
641552,/api/v1.1/game/641552/feed/live,S,2021,2021-02-28T20:05:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 7, 'team': {'id': 158, 'name': 'Milwaukee Brewers', 'link': '/api/v1/teams/158'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 3}, 'home': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 2, 'team': {'id': 145, 'name': 'Chicago White Sox', 'link': '/api/v1/teams/145'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 1}}","{'id': 3809, 'name': 'Camelback Ranch', 'link': '/api/v1/venues/3809'}",{'link': '/api/v1/game/641552/content'},False,1,True,N,N,N,14-641552-2021-02-28,2021,day,6,False,2,2,Spring Training,S,N,Normal Game
642181,/api/v1.1/game/642181/feed/live,S,2021,2021-02-28T20:10:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 2, 'team': {'id': 109, 'name': 'Arizona Diamondbacks', 'link': '/api/v1/teams/109'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 1}, 'home': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 5, 'team': {'id': 115, 'name': 'Colorado Rockies', 'link': '/api/v1/teams/115'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 3}}","{'id': 4249, 'name': 'Salt River Fields at Talking Stick', 'link': '/api/v1/venues/4249'}",{'link': '/api/v1/game/642181/content'},False,1,True,N,E,N,14-642181-2021-02-28,2021,day,8,False,1,1,Spring Training,S,N,Normal Game
642018,/api/v1.1/game/642018/feed/live,S,2021,2021-02-28T20:10:00Z,2021-02-28,"{'abstractGameState': 'Final', 'codedGameState': 'F', 'detailedState': 'Final', 'statusCode': 'F', 'startTimeTBD': False, 'abstractGameCode': 'F'}","{'away': {'leagueRecord': {'wins': 0, 'losses': 1, 'pct': '.000'}, 'score': 4, 'team': {'id': 135, 'name': 'San Diego Padres', 'link': '/api/v1/teams/135'}, 'isWinner': False, 'splitSquad': False, 'seriesNumber': 3}, 'home': {'leagueRecord': {'wins': 1, 'losses': 0, 'pct': '1.000'}, 'score': 5, 'team': {'id': 136, 'name': 'Seattle Mariners', 'link': '/api/v1/teams/136'}, 'isWinner': True, 'splitSquad': False, 'seriesNumber': 3}}","{'id': 2530, 'name': 'Peoria Stadium', 'link': '/api/v1/venues/2530'}",{'link': '/api/v1/game/642018/content'},False,1,True,N,N,N,14-642018-2021-02-28,2021,day,9,False,1,1,Spring Training,S,N,Normal Game
